Authors,Year,Title,doi,Sample Size,Population Characteristics,Technology Used,Stress Type,Measures,Study Design
"Gleeson J, Lin A, Koval P, Hopkins L, Denborough P, Lederman R, Herrman H, Bendall S, Eleftheriadis D, Cotton S, Perry Y, Kaess M, Alvarez-Jimenez M.",2023,Moderated Online Social Therapy for Carers of Early Psychosis Clients in Real-World Settings: Cluster Randomized Controlled Trial,10.2196/47722,86,"Caregivers: Predominantly female (83%), most were mothers (76%). Mean age: 51.2 years (SD 9.9), range 18–76 years. Most had completed secondary school education, and 80% were in paid work. Approximately 53% were born in Australia, and 46% were born overseas (37% from Europe). Young People: 38% female, mean age: 21.1 years (SD 3.5). 81% lived with their family of origin. 53% completed secondary school, and 30% were in paid work","mHealth Applications: Altitudes, a web-based intervention that included psychoeducation, peer support, and professional moderation","Perceived stress (measured using the Perceived Stress Scale, PSS).","Biomarkers: Hair cortisol concentration.
Self-Report Tools: Perceived Stress Scale (PSS) Mindfulness (Mindful Attention Awareness Scale) Emotional involvement, dependency, and caregiver burden scales. Satisfaction with life (SWLS), QoL, and other secondary measures (e.g., CESD-R, MOS-SSS).",Randomized controlled trial (RCT).
"Won GH, Lee HJ, Lee JH, Choi TY, Hong HL, Jung CY.",2023,Impact of a Psychiatric Consultation Program on COVID-19 Patients: An Experimental Study,10.30773/pi.2022.0295,32,"Age: Mean age ~50.56 years (range 20-70+ years). Gender: 62% women (20), 38% men (12). Marital Status: 59% married. Education: 75% had at least middle school education. Employment: 75% employed. Health Insurance: 66% covered by health insurance.",mHealth Applications: Telepsychiatry consultations.,Acute stress (related to COVID-19 infection and quarantine conditions).,"Self-Report Tools: Patient Health Questionnaire-9 (PHQ-9). Generalized Anxiety Disorder Scale (GAD-7). Primary Care PTSD Screen for DSM-5 (PC-PTSD-5). Athens Insomnia Scale (AIS). Clinical Global Impression scales (CGI-S, CGI-I). Symptom Checklist-90-Revised (SCL-90-R).",Experimental study (telepsychiatry intervention).
"Barnhill JL, Roth IJ, Miller VE, Baratta JM, Chilcoat A, Kavalakatt BM, Tiedt MK, Thompson KL, Gardiner P.",2023,Pilot Observational Study of Patient Reported Outcome Measures for Long COVID Patients in Virtual Integrative Medical Group Visits,10.1177/27536130231174236,27,"Age: Mean 48.9 years (SD = 13.7 years). Gender: 78.6% female, 21.4% male. Ethnicity: 100% non-Hispanic; 71.4% White, 21.4% Black/African American, 7.1% Asian/Pacific Islander. Insurance: 78.6% private insurance.","mHealth Applications: Telehealth-based Integrative Medical Group Visits (IMGV) using Zoom, including mindfulness, chair yoga, self-massage, gratitude journaling, and anti-inflammatory diet education.","Perceived stress, anxiety, fatigue, cognitive impairment (""brain fog""), and physical symptoms (e.g., shortness of breath).",Self-Report Tools: Perceived Stress Scale (PSS-10). Generalized Anxiety Disorder 2-item questionnaire (GAD-2). Fibromyalgia Symptom Severity Scale (SSS). Measure Yourself Medical Outcome Profile (MYMOP®).,Observational study to assess feasibility of PROMs for evaluating telehealth-based IMGVs in Long COVID patients.
"Thomas EBK, Sagorac Gruichich T, Maronge JM, Hoel S, Victory A, Stowe ZN, Cochran A.",2023,Mobile Acceptance and Commitment Therapy With Distressed First-Generation College Students: Microrandomized Trial,10.2196/43065,34,"Age: 18-19 years old (Mean: 18.53, SD: 0.53). Gender: 85% female, 1 nonbinary individual. Race: 62% White, 21% Asian, 9% African American or Black, 6% more than one race, 3% other. Hispanic: 9%. Population: First-generation college students (FGCSs) reporting distress.","mHealth Applications: Lorevimo mobile app (assessment and ACT-based interventions including awareness, openness, and engagement prompts).",Perceived stress and distress interfering with daily functioning.,Self-Report Tools: Patient Health Questionnaire–2 (PHQ-2) for depressive symptoms. Perceived Stress Scale-4 (PSS-4) for perceived stress. ACT activity scale (custom-developed for the study).,Microrandomized trial (MRT) with twice-daily randomization to intervention or no intervention.
"Brindal E, Kakoschke N, Golley S, Rebuli M, Baird D.",2023,Effectiveness and Feasibility of a Self-guided Mobile App Targeting Emotional Well-being in Healthy Adults: 4-Week Randomized Controlled Trial,10.2196/44925,166,"Mean age 38.48 years (SD 6.73), 67.5% female. Participants were recruited through social media advertising.","mHealth Applications: ""Hey Lemonade"" app delivering positive messaging and tailored short inspirational talks (""peps"")",Perceived stress.,"Self-Reported Tools: Multidimensional Mood Questionnaire (MDMQ), Coping Self-Efficacy (CSE) scale, vitality, satisfaction with life, perceived stress, positive and negative affect, hassles and uplifts.",Randomized Controlled Trial (RCT).
"Shajari S, Salahandish R, Zare A, Hassani M, Moossavi S, Munro E, Rashid R, Rosenegger D, Bains JS, Sanati Nezhad A.",2023,MicroSweat: A Wearable Microfluidic Patch for Noninvasive and Reliable Sweat Collection Enables Human Stress Monitoring,10.1002/advs.202204171,11,"Healthy adults; sex distribution: 5 males, 6 females.","Wearable Device: MicroSweat patch (a flexible, self-powered, evaporation-free capillary microfluidic device).",Perceived stress assessed using the Perceived Stress Scale (PSS).,"Biomarkers: Cortisol concentration in sweat (detected via ELISA kits).
Self-Report Tools: Perceived Stress Scale (PSS).","Observational study involving sweat collection during physical exercise using a treadmill for 30–60 minutes at low speed, followed by cortisol measurement and PSS assessment."
"Norden M, Hofmann AG, Meier M, Balzer F, Wolf OT, Böttinger E, Drimalla H.",2022,Inducing and Recording Acute Stress Responses on a Large Scale With the Digital Stress Test (DST): Development and Evaluation Study,10.2196/32280,284,Gender: DST group - 50.5% women; Control-DST group - 53% women. Age: DST group - Mean 31.34 years (SD 9.48); Control-DST group - Mean 31.51 years (SD 11.18).,mHealth Applications: Digital Stress Test (DST) delivered via smartphone web application.,Acute psychosocial stress.,Self-Report Tools: International Positive and Negative Affect Schedule Short Form (PANAS-SF). Visual analogue scales for stress-related feelings.,Comparative web-based study.
"Chalmers T, Hickey BA, Newton P, Lin CT, Sibbritt D, McLachlan CS, Clifton-Bligh R, Morley J, Lal S.",2021,Stress Watch: The Use of Heart Rate and Heart Rate Variability to Detect Stress: A Pilot Study Using Smart Watch Wearables,10.3390/s22010151,60,"Medical students in their clinical year. General population aged 24–58 years. Gender: 33 males, 27 females. Average age: 28.9 ± 8.8 years. Average BMI: 23.1 ± 3.4 kg/m².",Wearable Device: FitBit Versa 2 (used to record heart rate). ECG: 3-lead ECG for HRV measurements.,Acute stress induced using the Trier Social Stress Test (TSST).,"Biomarkers: Heart rate (HR), heart rate variability (HRV) parameters (LF, HF, LF:HF ratio, VLF, TP).
Self-Report Tools: DASS (Depression Anxiety Stress Scale), General Health Questionnaire (GHQ).","Cross-sectional study
"
"Hirten RP, Danieletto M, Tomalin L, Choi KH, Zweig M, Golden E, Kaur S, Helmus D, Biello A, Pyzik R, Calcagno C, Freeman R, Sands BE, Charney D, Bottinger EP, Murrough JW, Keefer L, Suarez-Farinas M, Nadkarni GN, Fayad ZA.",2021,Factors Associated With Longitudinal Psychological and Physiological Stress in Health Care Workers During the COVID-19 Pandemic: Observational Study Using Apple Watch Data,10.2196/31295,361,"Health care workers (HCWs) from 7 hospitals in New York City, NY. Mean age: 36.8 ± 10.1 years. Gender: 69.3% female (246 participants).","Wearable Device: Apple Watch (used to measure HRV longitudinally).
mHealth Application: Warrior Watch Study app (used for data collection).",Perceived longitudinal stress associated with the COVID-19 pandemic.,"Biomarkers: Heart rate variability (HRV).
Self-Report Tools: Surveys measuring perceived stress, resilience, emotional support, quality of life, and optimism.",Prospective observational digital study with longitudinal follow-up.
"Stasinaki A, Büchter D, Shih CI, Heldt K, Güsewell S, Brogle B, Farpour-Lambert N, Kowatsch T, l'Allemand D.",2021,"Effects of a novel mobile health intervention compared to a multi-component behaviour changing program on body mass index, physical capacities and stress parameters in adolescents with obesity: a randomized controlled trial",10.1186/s12887-021-02781-2,41,"Youth aged 10–18 years with BMI > P.90 with risk factors or co-morbidities, or BMI > P.97, all diagnosed with obesity (median BMI-SDS: 2.61).",mHealth Applications: PathMate2 app (daily conversational agent counseling and biofeedback relaxation exercises).,Acute stress (evaluated via plasma cortisol and stress questionnaires).,"Self-Report Tools: Stress questionnaires.
Other Measures: BMI-SDS, body fat, muscle mass (bioelectrical impedance analysis), waist-to-height ratio, physical capacities (modified Dordel-Koch-Test), blood pressure, and pulse.","Randomized controlled trial (RCT), not blinded."
"Boumparis N, Schulte MH, Kleiboer A, Huizink A, Riper H.",2021,A Mobile Intervention to Promote Low-Risk Drinking Habits in Young Adults: Protocol for a Randomized Controlled Trial,10.2196/29750,506,"Young adults aged 18-30 years, recruited from the Netherlands.","mHealth Applications: Boozebuster, a self-guided mobile app focused on developing and maintaining low-risk drinking habits.",Perceived stress (measured using the Perceived Stress Scale).,"Self-Report Tools: Perceived Stress Scale (PSS), Center for Epidemiological Studies Depression Scale, Rutgers Alcohol Problem Index, timeline follow-back (TLFB) for alcohol and cannabis consumption, Warwick-Edinburgh Mental Wellbeing Scale, Short-Form PTSD Checklist for DSM-5, Twente Engagement with eHealth Technologies Scale, Readiness to Change Questionnaire, Individual Work Performance Questionnaire.","Randomized Controlled Trial (RCT), two-arm, parallel-group design."
"Eagle DE, Rash JA, Tice L, Proeschold-Bell RJ.",2021,"Evaluation of a remote, internet-delivered version of the Trier Social Stress Test",10.1016/j.ijpsycho.2021.03.009,50,Mean age: 50.4 years (SD = 11.1). Gender: 56% male. Ethnicity: Primarily White (92%). Mean BMI: 29.5 (SD = 7.2). Mean leisure-time physical activity score: 37.3 (SD = 28.6).,"Wearable Device: Self-administered ECG monitors mailed to participants.
mHealth Application: Remote delivery of the Trier Social Stress Test via video conferencing.","Acute stress induced by the Trier Social Stress Test (iTSST), specifically using a speech and mental arithmetic task.","Biomarkers: Heart rate (HR). Root Mean Square of Successive Differences (RMSSD).
Self-report Tools: Perceived Stress (custom scale). Self-reported relaxation.",Mixed methods with a repeated measures design across two administrations of the iTSST.
"Bolliger L, Lukan J, Luštrek M, De Bacquer D, Clays E.",2020,"Protocol of the STRess at Work (STRAW) Project: How to Disentangle Day-to-Day Occupational Stress among Academics Based on EMA, Physiological Data, and Smartphone Sensor and Usage Data",10.3390/ijerph17238835,50,"Healthy adults with sedentary office-based jobs in academic settings. Participants used Android smartphones, worked at least 80% of the full-time workweek, and wore the Empatica wristband during waking hours.","Wearable Devices: Empatica E4 wristband, measuring heart rate variability (HRV), electrodermal activity (EDA), heart rate, skin temperature, and acceleration.
mHealth Application: Custom-developed STRAW app for ecological momentary assessment (EMA), smartphone sensor, and usage data collection.",Acute stress; day-to-day occupational stress.,"Biomarkers: Heart rate variability (HRV), electrodermal activity (EDA), blood pressure, heart rate, and skin temperature.
Self-Report Tools: Ecological Momentary Assessments (EMA) using Likert scales and binary response options.",Prospective observational study
"Khademian F, Aslani A, Ravangard R, Bastani P, Nami M, Jafari P.",2020,Efficacy of a web application for stress management among Iranian college students during COVID-19 outbreak: a study protocol for randomized controlled trials,10.1186/s13063-020-04949-0,100,"Iranian college students, aged 20–35 years, studying in BSc (second and higher semesters) or MSc programs at Shiraz University of Medical Sciences. Participants have smartphones, computers, laptops, or tablets, and no known psychological problems, psychiatric drug use, addictions, chronic physical diseases, or disabilities.","mHealth Application: ""Naranj,"" a web-based stress management app including stress management strategies (e.g., ACT-based techniques, 4-7-8 breathing, EFT, relaxing music, meditation, diary), COVID-19 education, and psychological consultation services.",Perceived stress.,Self-Report Tools: Perceived Stress Scale (PSS). Pittsburgh Sleep Quality Index (PSQI).,Randomized controlled trial (RCT)
"van Kraaij AWJ, Schiavone G, Lutin E, Claes S, Van Hoof C.",2020,Relationship Between Chronic Stress and Heart Rate Over Time Modulated by Gender in a Cohort of Office Workers: Cross-Sectional Study Using Wearable Technologies,10.2196/18253,328,Mean age: 38.9 years (SD: 10.2). Occupation: Healthy employees from technology companies.,"Wearable devices: Chest patch with an ECG sensor (256 Hz) and a wristband measuring skin conductance (256 Hz), skin temperature (1 Hz), and accelerometer (32 Hz).
mHealth application: Not explicitly mentioned. Stress assessment was conducted using physiological data and PSS scores.","Perceived chronic stress (measured using the Perceived Stress Scale, PSS).","Biomarkers: Heart Rate (HR) derived from ECG, with circadian and harmonic analyses (24, 12, 8, 6-hour periods).
Self-report tools: Perceived Stress Scale (PSS-10).",Observational study
